CHECKLIST_NAME	CHECKLIST_FIELD_ID	CHECKLIST_FIELD_NAME	CHECKLIST_FIELD_DESCRIPTION
ENA binned metagenome	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
GSC MIMAGS	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
GSC MISAGS	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
GSC MIxS Food and Production	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
GSC MIxS Symbiont	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
GSC MIxS agriculture	686	16S recovery software	Tools used for 16S rRNA gene extraction. Add names and versions of software(s), parameters used
ENA binned metagenome	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MIMAGS	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MISAGS	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MIxS Food and Production	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MIxS Hydrocarbon	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MIxS Symbiont	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
GSC MIxS agriculture	685	16s recovered	Can a 16S gene be recovered from the submitted bin, SAG or MAG?
ENA Tara Oceans	297	Chlorophyll Sensor	Fluorescence of the water measured in volts and converted to milligrammes of chlorophyll per cubic metre. Format: ##.####, SDN:P02:75:CPWC, SDN:P06:46:UMMC for mg Chl/m3. Example: 0.066.
ENA Tara Oceans	69	Citation	Citation of the Sample Registry (HTML version) at the PANGAEA. Example: doi.pangaea.de/10.1594/PANGAEA.76752.
ENA Global Microbial Identifier Proficiency Test (GMI PT) checklist	669	DNA concentration	DNA concentration used for sequencing in ng/µl
	41	Depth	The distance below the surface of the water at which a measurement was made or a sample was collected. Format: ####.##, Positive below the sea surface. SDN:P06:46:ULAA for m. Example: 14.71
	218	Event Date/Time	Date and time in UTC when the sampling event started and ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: yyyy-mm-ddThh:mm:ssZ. Example: 2013-06-21T14:05:00Z/2013-06-21T14:46:00Z.
ENA Tara Oceans	314	Event Date/Time End	Date and time in UTC when the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: yyyy-mm-ddThh:mm:ssZ. Example: 2011-04-16T15:38:00Z.
ENA Tara Oceans	351	Event Date/Time Start	Date and time in UTC when the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: yyyy-mm-ddThh:mm:ssZ. Example: 2011-04-16T15:05:30Z.
ENA Tara Oceans	126	Event Label	An Event corresponds to the deployment of a sampling device. It is bound in space and time. The Event Label is a unique identifier composed of the project prefix "TARA", sampling date/time "yyyymmddThh:mm:ssZ", station number "000" and a short label to indicate the sampling device used, e.g. "EVENT_CAST", "EVENT_NET", "EVENT_PUMP". Example: TARA_20110416T1508Z_100_EVENT_CAST.
ENA Global Microbial Identifier Proficiency Test (GMI PT) checklist	219	Further Details	Reference details related to a sample in form of an URI.
ENA Marine Microalgae Checklist	219	Further Details	Reference details related to a sample in form of an URI.
ENA Tara Oceans	219	Further Details	Reference details related to a sample in form of an URI.
ENA UniEuk_EukBank Checklist	219	Further Details	Reference details related to a sample in form of an URI.
ENA mutagenesis by carcinogen treatment checklist	219	Further Details	Reference details related to a sample in form of an URI.
Tree of Life Checklist	754	GAL	the name (or acronym) of the genome acquisition lab responsible for the sample.
Tree of Life Checklist	755	GAL_sample_id	unique name assigned to the sample by the genome acquisition lab.
GSC MIxS human vaginal	38	HRT	whether subject had hormone replacement theraphy, and if yes start date
GSC MIxS human associated	330	IHMC medication code	can include multiple medication codes
GSC MIxS human gut	330	IHMC medication code	can include multiple medication codes
GSC MIxS human oral	330	IHMC medication code	can include multiple medication codes
GSC MIxS human skin	330	IHMC medication code	can include multiple medication codes
GSC MIxS human vaginal	330	IHMC medication code	can include multiple medication codes
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	535	Is the sequenced pathogen host associated?	Is the sequenced pathogen host associated? ('Yes' or 'No')
ENA Tara Oceans	245	Last Update Date	Date of the last update of this sample in the SAMPLES REGISTRY. Example: 2014-03-01Z.
ENA Micro B3	143	Latitude End	Latitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6643.
ENA Tara Oceans	143	Latitude End	Latitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6643.
Tree of Life Checklist	143	Latitude End	Latitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6643.
ENA Micro B3	190	Latitude Start	Latitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6666.
ENA Shellfish Checklist	190	Latitude Start	Latitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6666.
ENA Tara Oceans	190	Latitude Start	Latitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6666.
Tree of Life Checklist	190	Latitude Start	Latitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ##.####, Decimal degrees; North= +, South= -; Use WGS 84 for GPS data. Example: -24.6666.
ENA Micro B3	167	Longitude End	Longitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1171.
ENA Tara Oceans	167	Longitude End	Longitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1171.
Tree of Life Checklist	167	Longitude End	Longitude of the location where the sampling event ended, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1171.
ENA Micro B3	220	Longitude Start	Longitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1012.
ENA Shellfish Checklist	220	Longitude Start	Longitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1012.
ENA Tara Oceans	220	Longitude Start	Longitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1012.
Tree of Life Checklist	220	Longitude Start	Longitude of the location where the sampling event started, e.g. each CTD cast, net tow, or bucket collection is a distinct event. Format: ###.####, Decimal degrees; East= +, West= -; Use WGS 84 for GPS data. Example: -096.1012.
ENA binned metagenome	699	MAG coverage software	Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets e.g. bwa, bbmap, bowtie, other
